,time,accuracyScore
0,1,0.502158725175
1,2,0.520292016642
2,3,0.567391474998
3,4,0.607426014601
4,5,0.625873302457
5,6,0.634037208572
6,7,0.647303556009
7,8,0.664965852893
8,9,0.683413140749
9,10,0.697126707489
10,11,0.707175380751
11,12,0.720477386935
12,13,0.730820573223
13,14,0.745935757481
14,15,0.752572460922
15,16,0.755930871956
16,17,0.767332180475
17,18,0.781640840085
18,19,0.790281934163
19,20,0.797206659828
20,21,0.793968253968
21,22,0.803769218053
22,23,0.807005725834
23,24,0.807086614173
24,25,0.812609610663
25,26,0.822730974572
26,27,0.826461769115
27,28,0.825865779691
28,29,0.828865979381
29,30,0.825527704485
30,31,0.822067006038
31,32,0.82130406714
32,33,0.825523429711
33,34,0.815200252286
34,35,0.816978468055
35,36,0.80730630269
36,37,0.803518391592
37,38,0.802742616034
38,39,0.787416004887
39,40,0.781071428571
40,41,0.762847514743
41,42,0.77004008016
42,43,0.7575030012
43,44,0.734442836469
44,45,0.701401050788
45,46,0.671175858481
46,47,0.693773824651
47,48,0.687697160883
48,49,0.665354330709
49,50,0.652173913043
50,51,0.694864048338
51,52,0.664150943396
52,53,0.626794258373
53,54,0.646706586826
54,55,0.65625
55,56,0.654205607477
56,57,0.627906976744
57,58,0.553846153846
58,59,0.537037037037
59,60,0.651162790698
60,61,0.457142857143
61,62,0.464285714286
62,63,0.454545454545
63,64,0.470588235294
64,65,0.466666666667
65,66,0.5
