,time,accuracyScore
0,1,0.501373734202
1,2,0.51691655546
2,3,0.573906900071
3,4,0.600361095847
4,5,0.628149776278
5,6,0.65099301358
6,7,0.656566449486
7,8,0.667556323102
8,9,0.680744171442
9,10,0.694850054954
10,11,0.705055738734
11,12,0.718907035176
12,13,0.73553199843
13,14,0.733527055682
14,15,0.755950043202
15,16,0.762686567164
16,17,0.767489388461
17,18,0.78313537324
18,19,0.787131831785
19,20,0.795233961966
20,21,0.802063492063
21,22,0.803190610018
22,23,0.806753115527
23,24,0.806059568641
24,25,0.815941774816
25,26,0.819111392634
26,27,0.822432533733
27,28,0.825083153982
28,29,0.829072164948
29,30,0.83080474934
30,31,0.827275955961
31,32,0.824661071659
32,33,0.827802307364
33,34,0.822611163671
34,35,0.813625132369
35,36,0.802689682858
36,37,0.794608179118
37,38,0.790611814346
38,39,0.786805131338
39,40,0.776428571429
40,41,0.771272114575
41,42,0.764529058116
42,43,0.743697478992
43,44,0.728654124457
44,45,0.73292469352
45,46,0.704474505723
46,47,0.716645489199
47,48,0.709779179811
48,49,0.67125984252
49,50,0.654589371981
50,51,0.706948640483
51,52,0.671698113208
52,53,0.626794258373
53,54,0.688622754491
54,55,0.578125
55,56,0.728971962617
56,57,0.616279069767
57,58,0.723076923077
58,59,0.574074074074
59,60,0.651162790698
60,61,0.485714285714
61,62,0.357142857143
62,63,0.363636363636
63,64,0.352941176471
64,65,0.466666666667
65,66,0.5
