,goldTotal,goldDiff,champKills,killDiff,towerKills,towerDiff,inhibKills,inhibDiff,dragonKills,dragonDiff,baronKills,baronDiff,time
0,0.25456427787,0.57475120668,0.0435256188979,0.127158896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0.400531468814,0.568406585483,0.0082100904358,0.0228518552672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,0.32448301762,0.576526493708,0.0275614943417,0.0714289943299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3,0.22595973437,0.387232095904,0.0543933025326,0.122414867193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,0.179239642235,0.368768294478,0.0494356261605,0.142556437127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5,0.16036464089,0.477083092316,0.0562217298302,0.204581380641,0.0,0.0,0.0,0.0,0.00340310989819,0.00834604642371,0.0,0.0,6
6,0.158719935634,0.52934382188,0.069908096653,0.235304382133,0.000394165917622,0.000907536004933,0.0,0.0,0.00166299158451,0.003759070193,0.0,0.0,7
7,0.164116191662,0.524366406402,0.0612238050214,0.217967868139,0.00180095480848,0.00268371643593,0.0,0.0,0.0102492240666,0.00759183346418,0.0,0.0,8
8,0.159821417596,0.540936088145,0.0537185664517,0.212557474429,0.00348395820215,0.00865079854259,0.0,0.0,0.00688272811495,0.0139489685189,0.0,0.0,9
9,0.177726449281,0.516474812788,0.0433281772305,0.211647192844,0.0073066338637,0.015449632214,0.0,0.0,0.00549284537127,0.0125742564078,0.0,0.0,10
10,0.152376028605,0.48407054498,0.0610791120974,0.225449130545,0.0113133113678,0.0287537512591,0.0,0.0,0.0120903008647,0.0148678202806,0.0,0.0,11
11,0.138081292416,0.501659925151,0.0494317280954,0.207473399945,0.0139698523202,0.039872743261,0.0,0.0,0.0136764235309,0.0258346352802,0.0,0.0,12
12,0.154394721978,0.459600776971,0.0396315331643,0.203556607925,0.0188345558922,0.0555757153531,0.0,0.0,0.0136901597572,0.0347159289593,0.0,0.0,13
13,0.120280379784,0.447292155753,0.0479692972645,0.197822515061,0.0354479755455,0.0794336127087,0.0,0.0,0.018195890049,0.0335581738338,0.0,0.0,14
14,0.115786814399,0.428889995138,0.0337191786892,0.252054859687,0.0268979095154,0.087491919475,0.0,8.04603023404e-05,0.0171836366456,0.0378952261475,0.0,0.0,15
15,0.1547803285,0.350756879935,0.0329724490389,0.243651290521,0.0485240459096,0.114815877209,1.30976940523e-05,0.000291252784709,0.0174016013864,0.0367931770196,0.0,0.0,16
16,0.126133910109,0.428112823021,0.0266994436638,0.183228807079,0.0410973335713,0.135260226268,0.000232856353128,0.000296896580773,0.023676343239,0.0352613601158,0.0,0.0,17
17,0.127420482406,0.39311810647,0.0415209805864,0.198500719189,0.049424055477,0.138293824175,0.000223296844472,0.000362757138497,0.0201844741107,0.0309513036038,0.0,0.0,18
18,0.114818690497,0.37426308343,0.0355029371779,0.216839937369,0.0384295963901,0.154531763654,0.00042433581578,0.00093065758109,0.0253954277983,0.0388635702859,0.0,0.0,19
19,0.118355731001,0.297953641726,0.0202143068753,0.207604451791,0.0762839416028,0.198939225593,0.000496362952545,0.00170248573221,0.0269458803077,0.0515039724191,0.0,0.0,20
20,0.103411720845,0.417323970533,0.0269218794071,0.181056042858,0.0762180224562,0.128345856578,0.00106736667794,0.000801599350987,0.0287683672523,0.0360536200349,0.0,3.15540066142e-05,21
21,0.115677068378,0.372910078389,0.0199894130146,0.151612641554,0.0655748969048,0.19523076979,0.000342319579329,0.00168686727827,0.0235855323274,0.0532657461869,3.30296196716e-06,0.000121363635854,22
22,0.0827215244327,0.362275007229,0.0212076829215,0.160925741317,0.102165152504,0.209251662987,0.00170024931207,0.0042194960377,0.0162379238621,0.0390432846303,5.44136285793e-05,0.000197861138481,23
23,0.104493478259,0.368706826345,0.0158155788093,0.183980614371,0.0914989564083,0.162014868811,0.000955831396831,0.00548391998296,0.0269782160688,0.0394424552458,0.000152894725974,0.000476359574646,24
24,0.0836325754019,0.40206976652,0.0136369438701,0.17238704273,0.0718245364454,0.193293518488,0.00119108460638,0.00393177537878,0.0214170606268,0.0351480865711,0.000185352199217,0.00128225716242,25
25,0.0602301986165,0.35377987493,0.00665306330189,0.191246533121,0.0921500284982,0.206404558268,0.00181065785018,0.0141607136228,0.0213644742185,0.0498261893431,0.000654550660282,0.00171915757033,26
26,0.0842284947421,0.359209310764,0.0150454238428,0.128071060457,0.100806351132,0.226061205017,0.00745755233771,0.0165770017469,0.0173154288249,0.0411737118339,0.000932399895988,0.00312205940552,27
27,0.0573529436957,0.371876940131,0.0118207709905,0.133124267325,0.0872922137286,0.222630753278,0.0140298829103,0.0205006294083,0.0305973986896,0.046624649527,0.00103327501785,0.00311627529789,28
28,0.080598425876,0.384286823785,0.00942214502101,0.127205994578,0.0932989001436,0.201773819974,0.0190515501679,0.0393272833742,0.0136202814613,0.0240576570021,0.00189134388346,0.00546577473415,29
29,0.0832143538778,0.405108038124,0.00920713131835,0.0936166966217,0.107168294086,0.191071289,0.0167418148193,0.0529106208905,0.0111972181609,0.0212811687813,0.0017226182656,0.00676075605536,30
30,0.0561688081922,0.407128175269,0.00637633332004,0.13294170966,0.0870333371066,0.173597648331,0.0226117171715,0.0589815720201,0.0152230873965,0.0294411810924,0.0029166949913,0.00757973544958,31
31,0.072808525027,0.388837888192,0.00792071015238,0.128473022372,0.0724371165784,0.213813808513,0.0110179562635,0.0568906377892,0.00754748248705,0.0247197440489,0.00366739529344,0.011865713283,32
