,goldTotal,goldDiff,champKills,killDiff,towerKills,towerDiff,inhibKills,inhibDiff,dragonKills,dragonDiff,baronKills,baronDiff,riftKills,firstBlood,firstTower,firstInhib,firstDragon,firstBaron,firstRift,time
0,0.209750203051,0.438377878592,0.0802903450303,0.216122765397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0554588079299,0.0,0.0,0.0,0.0,0.0,1
1,0.34169106961,0.546994653231,0.0194509210447,0.0783531840873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013510172027,0.0,0.0,0.0,0.0,0.0,2
2,0.280701121206,0.532574617739,0.0606646979387,0.0711754893456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548840737706,0.0,0.0,0.0,0.0,0.0,3
3,0.175016486641,0.374820297117,0.0696780552868,0.104680291145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358048698105,0.0,0.0,0.0,0.0,0.0,4
4,0.195915697677,0.345121034963,0.0481414003682,0.145825956736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449959102547,0.0,0.0,0.0,0.0,0.0,5
5,0.16322269731,0.502151104941,0.0385340492222,0.160821160446,0.0,0.0,0.0,0.0,0.00954415701493,0.0121091564908,0.0,0.0,0.0,0.0530276888651,0.0,0.0,0.01058998571,0.0,0.0,6
6,0.130627958906,0.53725792213,0.0583267234065,0.226811028404,0.000578888840192,0.000856460962009,0.0,0.0,0.000896007548013,0.00177539971072,0.0,0.0,0.0,0.0257713767586,0.00974661290328,0.0,0.00735162043123,0.0,0.0,7
7,0.172822153292,0.499087665244,0.0467022918258,0.238762281892,0.00131651424969,0.00157149873285,0.0,0.0,0.00400733088874,0.00741563377226,0.0,0.0,0.0,0.0242201496174,0.00128287408175,0.0,0.00281160640406,0.0,0.0,8
8,0.187875503267,0.448726053036,0.0618349056638,0.213484044376,0.00548436418891,0.0120385173277,0.0,0.0,0.00851700729369,0.0150096008103,0.0,0.0,0.0,0.0179778330689,0.00323118554829,0.0,0.00582098541993,0.0,0.0,9
9,0.145518488605,0.474293177375,0.0612577624131,0.221183493226,0.006789394799,0.019486053363,0.0,0.0,0.00545929984302,0.0137956266071,0.0,0.0,0.0,0.0210000193477,0.0136758085742,0.0,0.00752322096543,0.0,1.76548807489e-05,10
10,0.172197007042,0.453998770016,0.0518602862376,0.204947316866,0.00944950234824,0.0256191233702,0.0,0.0,0.00968787460841,0.0187991654071,0.0,0.0,3.15942688767e-05,0.0123688467965,0.0227546909392,0.0,0.00823743668423,0.0,4.83854156547e-05,11
11,0.182794853447,0.387393999415,0.0429186273378,0.229580982391,0.0127417545904,0.0402760714467,0.0,0.0,0.0127159857303,0.0233379403356,0.0,0.0,3.01390726501e-05,0.00666967489976,0.017905745468,0.0,0.0134663235313,0.0,0.000167902334816,12
12,0.143386377772,0.430598221117,0.0445430651918,0.200496248499,0.0271012865939,0.0630210419568,0.0,0.0,0.01583019913,0.0329442890022,0.0,0.0,4.61242157089e-06,0.00579917569213,0.0253690998495,0.0,0.0107296201999,0.0,0.000176762575015,13
13,0.159582087317,0.383885672393,0.0294268844974,0.212966561115,0.017805690241,0.0747178970527,0.0,0.0,0.0179550715082,0.0291574989445,0.0,0.0,6.14185672971e-06,0.00548207872207,0.0432815332742,0.0,0.0153437368318,0.0,0.000389146246599,14
14,0.0975643640051,0.446622328547,0.0381865341867,0.176054693617,0.0261353685196,0.0931504643503,0.0,0.0,0.0114911813298,0.0350596026473,0.0,0.0,6.22661549563e-05,0.00454015073354,0.0449592669568,0.0,0.0156029651501,0.0,0.000570813801993,15
15,0.122674121213,0.433331303025,0.040816389846,0.19734214471,0.0394344434429,0.0586189716545,0.000124923216021,0.000127247247759,0.0135481796751,0.0325488194043,0.0,0.0,1.47072589565e-05,0.0057391175658,0.044679248268,8.6658435927e-06,0.0103646789237,0.0,0.000627038705729,16
16,0.105158738808,0.364095346424,0.0292061922371,0.212260328281,0.029789508588,0.132243255006,6.69415397614e-05,0.000279814460986,0.0274596607282,0.0362240177756,0.0,0.0,2.35289449661e-05,0.00403786371931,0.0450870341792,0.000427062660824,0.0127639181233,0.0,0.000876788523398,17
17,0.0872865688103,0.393442862796,0.0372886779413,0.202911267959,0.0443479746828,0.129098132868,0.000125482930231,0.000320565616813,0.0257661018209,0.028930282658,0.0,0.0,2.0302469986e-05,0.00288540716254,0.0324752586418,0.000266119972015,0.0143472249195,0.0,0.000487768751052,18
18,0.112461817769,0.356002351366,0.0324967903214,0.194946319706,0.0478527388318,0.138120935922,0.000256985548165,0.000505696793154,0.0244168027501,0.0403323528591,0.0,0.0,8.85297027228e-06,0.00416920453236,0.0375871306331,0.000951919020546,0.00836041904317,0.0,0.00152968193318,19
19,0.0967136138744,0.367663959619,0.0206042995197,0.200657183932,0.0514131895511,0.120982110856,0.00054613693137,0.000980059052649,0.0193311353637,0.0457355067062,0.0,0.0,2.02182667543e-05,0.00263571362094,0.0577904670078,0.000604245371988,0.0129718874445,0.0,0.00135027288149,20
20,0.0737550405273,0.341769519179,0.0323010860798,0.183766817304,0.0660325023268,0.174865535349,0.00121766298666,0.00185534639027,0.0296520177794,0.0416641599412,0.0,6.63344015494e-06,0.0,0.00267235097166,0.0340481311023,0.000943830317911,0.0148879510856,0.0,0.00056141521902,21
